w1b	w2b	w3b	w4b	l2	l3	l4
20491	18874516	1059872	34373888	18895007	19954879	54328767
20491	18874516	1059872	9306368	18895007	19954879	29261247
20491	18874516	1059872	4981056	18895007	19954879	24935935
20491	18874516	1059872	4882688	18895007	19954879	24837567
20491	18874516	1706016	33825088	18895007	20601023	54426111
20491	18874516	1313824	4882688	18895007	20208831	25091519
20491	18874516	393568	35130368	18895007	19288575	54418943
20491	18874516	393568	1614848	18895007	19288575	20903423
20491	18874516	34210080	1345600	18895007	53105087	54450687
20491	18874516	34210080	1320000	18895007	53105087	54425087
20491	18874516	34210080	1320448	18895007	53105087	54425535
20491	18874516	34210080	1351744	18895007	53105087	54456831
20491	18874516	34210080	1352704	18895007	53105087	54457791
20491	18874516	34210080	5513280	18895007	53105087	58618367
20491	18874516	1441888	4728064	18895007	20336895	25064959
20491	18874516	35129376	272128	18895007	54024383	54296511
20491	18874516	35129376	4464960	18895007	54024383	58489343
20491	18874516	35129376	4465920	18895007	54024383	58490303
20491	18874516	35129376	4333888	18895007	54024383	58358271
20491	18874516	1319968	4882688	18895007	20214975	25097663
20491	18874516	401728	35130368	18895007	19296735	54427103
20491	18874516	11584	1835552	18895007	18906591	20742143
20491	18874516	655712	1320448	18895007	19550719	20871167
20491	18874516	426304	35130368	18895007	19321311	54451679
20491	18874516	688448	1320448	18895007	19583455	20903903
20491	18874516	1312864	4850944	18895007	20207871	25058815
20491	18874516	1312864	4882688	18895007	20207871	25090559
20491	18874516	1345600	4728064	18895007	20240607	24968671
20491	18874516	1345600	4850944	18895007	20240607	25091551
20491	18874516	1320000	4882688	18895007	20215007	25097695
20491	18874516	789248	5382208	18895007	19684255	25066463
20491	18874516	1835552	44288	18895007	20730559	20774847
20491	18874516	1835552	173312	18895007	20730559	20903871
20491	18874516	1835552	4333888	18895007	20730559	25064447
20491	18874516	1320448	4851968	18895007	20215455	25067423
20491	18874516	1320448	4882688	18895007	20215455	25098143
20491	18874516	35130368	303424	18895007	54025375	54328799
20491	18874516	35130368	4464960	18895007	54025375	58490335
20491	18874516	35130368	4333888	18895007	54025375	58359263
20491	18874516	34343168	5382208	18895007	53238175	58620383
20491	18874516	1092608	9306368	18895007	19987615	29293983
20491	18874516	1092608	4981024	18895007	19987615	24968639
20491	18874516	34373888	5382208	18895007	53268895	58651103
20491	4456596	1058912	25821440	4477087	5535999	31357439
20491	4456596	1059872	16941376	4477087	5536959	22478335
20491	4456596	1059872	19038464	4477087	5536959	24575423
20491	4456596	1059872	25821440	4477087	5536959	31358399
20491	4456596	34210080	17835072	4477087	38687167	56522239
20491	4456596	34210080	17835520	4477087	38687167	56522687
20491	4456596	34210080	1092608	4477087	38687167	39779775
20491	4456596	34210080	17866816	4477087	38687167	56553983
20491	4456596	34210080	17867776	4477087	38687167	56554943
20491	4456596	35129376	16819456	4477087	39606463	56425919
20491	4456596	35129376	19038464	4477087	39606463	58644927
20491	4456596	51511328	11584	4477087	55988415	55999999
20491	4456596	51511328	2630912	4477087	55988415	58619327
20491	4456596	655712	17835520	4477087	5132799	22968319
20491	4456596	688448	17835520	4477087	5165535	23001055
20491	4456596	16941376	35130368	4477087	21418463	56548831
20491	4456596	1704032	25169152	4477087	6181119	31350271
20491	4456596	35130368	19038464	4477087	39607455	58645919
20491	4456596	25169152	1744896	4477087	29646239	31391135
20491	4456596	17860640	2629952	4477087	22337727	24967679
20491	20971668	534816	3571712	20992159	21526975	25098687
20491	20971668	393568	35130368	20992159	21385727	56516095
20491	20971668	34210080	1346560	20992159	55202239	56548799
20491	20971668	35129376	272128	20992159	56121535	56393663
20491	20971668	11584	1835552	20992159	21003743	22839295
20491	8644	8947728	51511328	29135	8976863	60488191
20491	8644	29392912	1706016	29135	29422047	31128063
20491	8644	29392912	1313824	29135	29422047	30735871
20491	8644	29392912	1966112	29135	29422047	31388159
20491	8644	29392912	35129376	29135	29422047	64551423
20491	8644	29392912	1443872	29135	29422047	30865919
20491	8644	29392912	1835552	29135	29422047	31257599
20491	8644	29392912	35130368	29135	29422047	64552415
20491	8644	29392912	1444864	29135	29422047	30866911
20491	8644	29392912	4063232	29135	29422047	33485279
20491	8644	29392912	1967104	29135	29422047	31389151
20491	8644	1313824	21103120	29135	1342959	22446079
20491	8644	1313824	25329680	29135	1342959	26672639
20491	8644	35129376	394768	29135	35158511	35553279
20491	8644	35129376	16909840	29135	35158511	52068351
20491	8644	35129376	21103120	29135	35158511	56261631
20491	8644	35129376	25297936	29135	35158511	60456447
20491	8644	51511328	4524048	29135	51540463	56064511
20491	8644	51511328	820240	29135	51540463	52360703
20491	8644	21103120	35130368	29135	21132255	56262623
20491	8644	21103120	1346560	29135	21132255	22478815
20491	8644	1835552	25297936	29135	1864687	27162623
20491	8644	1835552	25329680	29135	1864687	27194367
20491	8644	35130368	25329680	29135	35159503	60489183
20491	8644	35130368	4620304	29135	35159503	39779807
20491	8644	35130368	19005488	29135	35159503	54164991
20491	8644	18513920	4524048	29135	18543055	23067103
20491	8644	4524048	18481184	29135	4553183	23034367
20491	8644	4524048	20578304	29135	4553183	25131487
20491	8644	3571712	21495856	29135	3600847	25096703
20491	9604	8947728	1441888	30095	8977823	10419711
20491	9604	8947728	51511328	30095	8977823	60489151
20491	9604	29392912	1706016	30095	29423007	31129023
20491	9604	29392912	1441888	30095	29423007	30864895
20491	9604	29392912	1966112	30095	29423007	31389119
20491	9604	29392912	35129376	30095	29423007	64552383
20491	9604	29392912	1443872	30095	29423007	30866879
20491	9604	29392912	1837120	30095	29423007	31260127
20491	9604	29392912	1704032	30095	29423007	31127039
20491	9604	29392912	1835552	30095	29423007	31258559
20491	9604	29392912	4063232	30095	29423007	33486239
20491	9604	35129376	21103120	30095	35159471	56262591
20491	9604	35129376	25460752	30095	35159471	60620223
20491	9604	35129376	23199760	30095	35159471	58359231
20491	9604	51511328	4524048	30095	51541423	56065471
20491	9604	1704032	25460752	30095	1734127	27194879
20491	9604	1704032	4524048	30095	1734127	6258175
20491	9604	1835552	25329680	30095	1865647	27195327
20491	9604	1835552	23199760	30095	1865647	25065407
20491	9604	18513920	4524048	30095	18544015	23068063
20491	9604	4524048	18481184	30095	4554143	23035327
20491	9604	4524048	18481216	30095	4554143	23035359
20491	9604	4524048	20578304	30095	4554143	25132447
20491	270724	8947728	51511328	291215	9238943	60750271
20491	270724	29392912	1706016	291215	29684127	31390143
20491	270724	29392912	35129376	291215	29684127	64813503
20491	270724	29392912	35130368	291215	29684127	64814495
20491	270724	35129376	16909840	291215	35420591	52330431
20491	270724	35129376	21103120	291215	35420591	56523711
20491	270724	35129376	25297936	291215	35420591	60718527
20491	270724	35129376	23199760	291215	35420591	58620351
20491	270724	21103120	35130368	291215	21394335	56524703
20491	270724	35130368	25329680	291215	35421583	60751263
20491	270724	35130368	23199760	291215	35421583	58621343
20491	532868	29392912	1313824	553359	29946271	31260095
20491	532868	29392912	1312864	553359	29946271	31259135
20491	532868	51511328	4524048	553359	52064687	56588735
20491	532868	1345600	21103120	553359	1898959	23002079
20491	295300	1058912	21103120	315791	1374703	22477823
20491	295300	1059872	21103120	315791	1375663	22478783
20491	295300	35129376	16909840	315791	35445167	52355007
20491	295300	35129376	21103120	315791	35445167	56548287
20491	295300	35129376	25297936	315791	35445167	60743103
20491	295300	21103120	35130368	315791	21418911	56549279
20491	132484	8947728	5513280	152975	9100703	14613983
20491	132484	29392912	1058912	152975	29545887	30604799
20491	132484	29392912	35129376	152975	29545887	64675263
20491	132484	29392912	1837120	152975	29545887	31383007
20491	132484	29392912	1312864	152975	29545887	30858751
20491	132484	29392912	1835552	152975	29545887	31381439
20491	132484	20973648	1835552	152975	21126623	22962175
20491	132484	1835552	25176080	152975	1988527	27164607
20491	132484	17866816	4524048	152975	18019791	22543839
20491	133508	29392912	1835552	153999	29546911	31382463
20491	133508	29392912	1320448	153999	29546911	30867359
20491	164228	17835040	4524048	184719	18019759	22543807
20491	164228	20973648	1835552	184719	21158367	22993919
20491	164228	1835552	20981776	184719	2020271	23002047
20491	164228	1835552	25176080	184719	2020271	27196351
20491	164228	17835520	4524048	184719	18020239	22544287
20491	655748	29392912	1313824	676239	30069151	31382975
20491	655748	29392912	1312864	676239	30069151	31382015
20491	655748	29392912	1320448	676239	30069151	31389599
20491	655748	17835520	4524048	676239	18511759	23035807
20491	6291844	17334352	1059872	6312335	23646687	24706559
20491	6291844	17334352	1313824	6312335	23646687	24960511
20491	6291844	17334352	1319968	6312335	23646687	24966655
20491	6291844	17334352	1320448	6312335	23646687	24967135
20491	6291844	17334352	1190912	6312335	23646687	24837599
20491	6291844	8947728	1441888	6312335	15260063	16701951
20491	6291844	8947728	1319968	6312335	15260063	16580031
20491	6291844	8947728	17835040	6312335	15260063	33095103
20491	6291844	8947728	51511328	6312335	15260063	66771391
20491	6291844	8947728	18219072	6312335	15260063	33479135
20491	6291844	8947728	1320000	6312335	15260063	16580063
20491	6291844	8947728	17835072	6312335	15260063	33095135
20491	6291844	8947728	1320448	6312335	15260063	16580511
20491	6291844	8947728	17835520	6312335	15260063	33095583
20491	6291844	8947728	1451008	6312335	15260063	16711071
20491	6291844	8947728	18227200	6312335	15260063	33487263
20491	6291844	8947728	1450048	6312335	15260063	16710111
20491	6291844	8947728	18220032	6312335	15260063	33480095
20491	6291844	8947728	18219040	6312335	15260063	33479103
20491	6291844	788528	17835520	6312335	7100863	24936383
